slang,formal
looo,loh
keluarin,keluarkan
yokk,yuk
gils,gila
ono,sono
weeeh,wih
bagiin,membagikan
suksea,sukses
temenan,berteman
sehh,sih
deket,dekat
dekt,dekat
genggg,geng
njirr,anjir
bhnya,bahannya
loo,loh
samaaaa,sama
abanggku,abangku
sayanggg,sayang
dsni,disini
ciieeeeeee,cie
kokohh,engkoh
pdhal,padahal
takuttt,takut
dung,dong
latian,latihan
soga,moga
tteh,teteh
sintron,sinetron
astagaa,astaga
ancurrr,hancur
iaa,iya
dblkang,dibelakang
yayang,sayang
gokillllll,gila
aplks,aplikasi
ska,suka
ktawa,ketawa
baguuus,bagus
kaaan,kan
ngepoin,mengepoi
uuhh,uh
njirrr,anjir
bosen,bosan
dongggg,dong
qu,ku
hatii,hati
besook,besok
mauu,mau
gtuu,begitu
njayyy,anjay
maacih,terima kasih
tokayyy,tahi
to,tapi
mksdku,maksudku
gituin,begitukan
lgsung,langsung
cba,coba
nh,nih
giniin,beginikan
kaaa,kak
kubarikan,kuberikan
ayank,sayang
anyeng,anjing
yankkk,sayang
cukurrr,cukur
gilaaaaaa,gila
yhaaa,ya
qaqaaaa,kakak
sayangkuuuuu,sayangku
kakakuuu,kakakku
banx,bang
bape,bawa perasaan
telimakacih,terima kasih
keliatan,kelihatan
cantiiiik,cantik
didapet,didapat
tanya2,tanya-tanya
kuningggg,kuning
mz,mas
nyolot,menyolot
kakk,kakak
elahh,alah
syantiiiiikkkkkkkkkkkk,cantik
hijabb,hijab
lbih,lebih
ngetik,mengetik
ntah,entah
pan,kapan
mateeeek,mati
geetoo,begitu
kokkk,kok
muluuu,melulu
yaaang,yang
iyaa,iya
gituu,begitu
yappp,ya
uwahhhhh,wah
bnr2,benar-benar
psgn,pasangan
ujg,ujung
rmbut,rambut
smp,sampai
kki,kaki
mreka,mereka
hayukk,hayo
ntab,mantap
atuhhh,atuh
yukss,yuk
lihaatttt,lihat
niiiihh,nih
liattt,lihat
cuyyy,cuy
liatiii,lihat
jombsss,jomblo
emesshhh,gemas
gemeessss,gemas
poollll,pol
gemesyak,gemas ya
bngttt,banget
ngegmesin,menggemaskan
hndak,hendak
hndk,hendak
iiih,ih
lutunaa,lucunya
ngareppppp,mengharap
aamiinin,amin
tay,tahi
nyaaa,nya
toketnya,teteknya
tumpe2,tumpah-tumpah
lenje,lenjeh
tuuuuh,tuh
cantinya,cantiknya
pyudara,payudara
ngatain,mengatai
bgitu,begitu
ngomongnya,mengomongnya
sich,sih
cantiik2,cantik-cantik
ngilang,menghilang
dikatain,dikatai
maluuu,malu
brisi,berisi
pkoknya,pokoknya
astagfirullh,astagfirullah
nutupin,menutupi
kakakaaaaaaaaaaaaaa,kakak
cantikkkkkkkk,cantik
cantiq,cantik
batwc,banget
kamyuhhh,kamu
dbwh,dibawah
pede,percaya diri
awal2,awal-awal
setabil,stabil
maksih,terima kasih
buktiin,membuktikan
setujuuu,setuju
digituin,dibegitukan
sekolahin,sekolahkan
ajarin,ajarkan
sendirii,sendiri
mrnghadapi,menghadapi
bgmn,bagaimana
apalg,apalagi
naka,nakal
bacahalah,bacalah
dikerasin,dikerasi
gkkan,enggak akan
ngulangin,mengulangi
bedaa,beda
pnyaa,punya
bol3h,boleh
ngadu,mengadu
ketauan,ketahuan
dimarahin,dimarahi
manjain,memanjakan
skrng,sekarang
nyelesain,menyelesaikan
troma,trauma
kerasin,kerasi
skg,sekarang
ngatur,mengatur
koment,komentar
byak,banyak
kepad,kepada
bantuanny,bantuannya
ttinggi,tinggi
komentarin,komentari
bijak2,bijak-bijak
menurur,menurut
tipe2,tipe-tipe
diliat,dilihat
liatlah,lihatlah
teguran2,teguran-teguran
gr2,gara-gara
gamau,enggak mau
skolah,sekolah
pdahal,padahal
klas,kelas
krena,karena
tkut,takut
grunya,gurunya
pndah,pindah
tinggalin,tinggalkan
thdp,terhadap
tsb,tersebut
scr,secara
bhkn,bahkan
justeru,justru
ngatai,mengatai
kln,kalian
sukak,suka
ngajar,mengajar
termuraaahhhh,termurah
kmaren,kemarin
ambilin,mengambil
biasaaaa,biasa
luaarrr,luar
biasaaa,biasa
jadilh,jadilah
bnr,benar
terhaaru,terharu
orrunya,orang tuanya
ortu,orang tua
kka,kakak
flm,film
loncatt,loncat
hampasss,hempas
tehh,teh
bunga2,bunga-bunga
apaaan,apaan
ampuuunn,ampun
daaah,dah
bangetttttt,banget
ituh,itu
cantiiikk,cantik
suaranyaaaaaa,suaranya
idoolaaa,idola
wiih,wih
apaa,apa
miriip,mirip
kaaaa,kak
allaahh,allah
ajahhh,saja
trims,terima kasih
dehat,sehat
buruann,buruan
trussss,terus
ngalir,mengalir
teruss,terus
boong,bohong
hub,hubungi
mkin,makin
kasiatnya,khasiatnya
nyaranin,menyarankan
suksess,sukses
th,tahun
ucull,lucu
syngnya,sayangnya
kocakkk,kocak
dasarrr,dasar
waaaaw,wow
cantikx,cantiknya
fatanik,fanatik
protestin,protestan
kakau,kalau
slh,salah
marh,marah
emngnya,memangnya
cooooooocok,cocok
pkk,pakai
sling,saling
luco,lucu
ultha,ultah
batikk,batik
gemes,gemas
dipake,dipakai
luchu,lucu
baguss,bagus
sedihhh,sedih
syang,sayang
pinter,pintar
ngasi,mengasih
qta,kita
cb,coba
naaaak,nak
astafirullah,astagfirullah
msuk,masuk
peragain,peragakan
shayyy,say
anjaayy,anjay
shay,say
woyyy,woy
shaaaay,say
hempaass,hempas
sayyy,say
njay,anjay
hehh,eh
cantik2,cantik-cantik
kam,kamu
sblh,sebelah
gag,enggak
nawarin,menawari
amiiiiin,amin
waaahhh,wah
ajakin,mengajak
mntn,mantan
ade,adek
luhhh,lu
yooookkk,yuk
mksd,maksud
jrnk,jarang
anjirr,anjir
mirippp,mirip
sangattt,sangat
iyap,iya
mayann,lumayan
autuhh,tau tuh
atutt,takut
ketara,tertara
giniii,begini
mbaaass,mbak
bund,bunda
bangeeettt,banget
almh,almarhumah
temenkuuh,temanku
mmg,memang
suami'y,suaminya
ori,orisinal
bngeeeetttt,banget
entr,entar
kyax,kayak
ea,ya
cuantikkk,cantik
mksdnya,maksudnya
cwe,cewek
namain,namai
kaaaaaaaaaakkkkkkkkkkk,kak
z,saja
kalw,kalau
tips2,tips-tips
alu,aku
ngerrrriiii,ngeri
model2,model-model
ngriii,mengiri
amatt,amat
smpai,sampai
saranin,sarankan
th,teh
tmbah,tambah
cntikk,cantik
pkee,pakai
biasaa,biasa
stju,setuju
cantikkkkkk,cantik
dilepas2,dilepas-lepas
tehhh,teh
istiqomahhh,istikamah
tehhhh,teh
amu,kamu
nahh,nah
jilbb,jilbab
ngecek,cek
cuyy,cuy
astauviruloh,astagfirullah
paaak,pak
diajarin,diajari
gawl,gaul
kecr,kece
iih,ih
aned,banget
gingsungny,gingsulnya
blh,boleh
cariin,carikan
kenceng,kencang
cuanti,cantik
mbanya,mbaknya
lh,boleh
knlan,kenalan
mbaakk,mbak
komenan,komentar
lagu'y,lagunya
jadiin,jadikan
omongin,omongkan
diem,diam
nyampah,menyampah
kitaa,kita
yh,ya
mst,mesti
add,ada
see,sih
sibukx,sibuknya
in,ini
katanyaa,katanya
lawaaaas,lawas
ngapain,mengapa
kocaaaak,kocak
cita2,cita-cita
sichhhhhhhhhh,sih
diapain,diapakan
nampak,menampak
tetehh,teteh
kepoin,kepoi
muga,moga
sllu,selalu
bangettttttt,banget
paripurnahh,paripurna
wanitah,wanita
indonesiaah,indonesia
cumn,cuman
gegra,gegara
kmrin,kemarin
brita,berita
gapernah,enggak pernah
fotbar,foto bareng
wajarrr,wajar
sampek,sampai
bingiittt,banget
nampar,menampar
tukan,tukang
jatoh,jatuh
mancungin,memancungkan
idung,hidung
kusem,kusam
drpada,daripada
ngata2in,mengatai-ngatai
cmpur,campur
bkal,bakal
saat2,saat-saat
nyadar,sadar
bka,buka
berani2,berani-berani
sprt,seperti
lucuuuuu,lucu
pipi'y,pipinya
gemmeeezzz,gemas
sukam,suka
manisss,manis
baju2,baju-baju
keche,kece
badaii,badai
mnjadi,menjadi
btuh,butuh
pnting,penting
ktanya,katanya
bebrp,beberapa
sblum,sebelum
santab,santap
salehah,salihah
mikirin,memikirkan
jt,juta
subhannallah,subhanallah
konsul,konsultasi
pengalam,pengalaman
kuninggg,kuning
pinkkkk,pink
warnany,warnanya
seger,segar
senangat,semangat
msknya,masaknya
kerennnn,keren
ciptain,ciptakan
bagussss,bagus
sayangkuh,sayangku
gans,ganteng
kren,keren
babget,banget
dihh,dih
jadu,jadi
astagaaaa,astaga
hancuuuuuy,hancur
mattihhh,mati
beudd,banget
termiribkan,termiripkan
u,lu
wenakk,enak
nganteng,ganteng
abanggg,abang
seksii,seksi
gtuh,begitu
jadii,jadi
emeezzz,gemas
amohhh,kamu
maau,mau
eyke,aku
gilakkkkk,gila
awk,awak
duhhhhh,duh
wowww,wow
liaatt,lihat
iniiiii,ini
aloh,allah
ngettt,banget
maso,masa
ngeliatnya,melihatnya
brubah,berubah
pelastik,plastik
keak,kayak
beud,banget
pahamin,pahami
takuuuuut,takut
ahahahanjirrr,anjir
jogetin,berjoget
shaay,say
boker,berak
nyambung,menyambung
pacarnyaa,pacarnya
siapaa,siapa
matii,mati
ketawaa,ketawa
wanjiir,anjir
dmna,dimana
bw,bawa
minta,meminta
bnran,benaran
uitnya,duitnya
beliiin,belikan
yaaah,ya
macem2,macam-macam
beliin,belikan
tgk,tengok
bkn,bikin
tanyain,tanyakan
jatuhnyaa,jatuhnya
banyakin,membanyaki
gituan,begituan
tpii,tapi
kaj,kak
wahhhhhh,wah
iiiiiiiii,ih
kaliiiiiii,kali
melebihin,melebihi
gakpapa,enggak apa-apa
kalogak,kalau enggak
sm2,sama-sama
ndukung,mendukung
kaaaaa,kak
aamiinnn,amin
skluarga,sekeluarga
suaminga,suaminya
berhijap,berhijab
smgaa,semoga
istiqamah,istikamah
cuaaantikk,cantik
baraang,barang
aamiiin,amin
bets,banget
alhamdulillaaaaah,alhamdulillah
sembuhin,menyembuhkan
pengrusak,perusak
ngoceh,mengoceh
aduhhh,aduh
hpus,hapus
pjang,pajang
bdampingan,berdampingan
bgtuu,begitu
semogaa,semoga
kepelesett,terpeleset
geeelaakk,gila
bolang,bocah petualang
pkek,pakai
lagihh,lagi
hedeuuhh,aduh
stress,stres
lama2,lama-lama
saltummmm,salah kostum
kaga,kagak
mboizzz,bois
ema,emak
gayany,gayanya
cepet,cepat
dirumahny,dirumahnya
yuh,tuh
mrusak,merusak
siapayahh,siapa ya
bilangin,bilang
kostom,kostum
loo,lo
gnii,begini
atuu,satu
pipinyaaa,pipinya
bungkuuuuuuuuusss,bungkus
iiiihhhhhj,ih
emeessss,gemas
pipine,pipinya
glembeeeer,gelambir
lucunaaa,lucunya
cubanget,lucu banget
pengenn,pengin
unyuuk,unyu
dedek,adek
lucunyah,lucunya
mantaaap,mantap
keduaa,kedua
trsrh,terserah
ksih,kasih
seterong,setrong
teyuss,terus
tai,tahi
dengerin,dengarkan
bales,balas
ngertiin,mengerti
rasaiin,rasai
gakusah,enggak usah
disni,disini
sabarrr,sabar
semangaatttt,semangat
bedainnya,membedakannya
keknya,kayaknya
krus,kurus
gaa,enggak
drpd,daripada
elaaaahhhh,alah
cogan,cowok ganteng
kenaliiin,kenalkan
banyak2,banyak-banyak
yo,ya
suko,suka
niih,nih
sihhhh,sih
nnti,nanti
segtu,sebegitu
ngebenci,membenci
bakar2in,bakar-bakari
slmt,selamat
padhe,pakde
yya,ya
atw,atau
dosa2mu,dosa-dosamu
maafin,memaafi
gabisa,enggak bisa
iyuh,ih
iyuuuhhhh,ih
gaje,enggak jelas
gabakal,enggak bakal
sadis2,sadis-sadis
maksir,menaksir
hebatt,hebat
ud,sudah
nahan,menahan
pnya,punya
kafeh,kafe
remang2,remang-remang
mlh,malah
nusuk,menusuk
tinggl,tinggal
dirmh,dirumah
ngaku,mengaku
mbaa,mbak
ityl,itil
ngarang,mengarang
ngehina,menghina
kelas'a,kelasnya
hadeeehhh,aduh
kr,kira
nenek2,nenek-nenek
taux,taunya
ributin,meributkan
brantem,berantem
belain,membela
lipetan,lipatan
nt,nanti
walik,balik
oma2,oma-oma
kellen,kalian
nyerocos,mencerocos
ibuk2,ibu-ibu
ngomenin,mengomentari
niyyyyhhhh,nih
sexi2,seksi-seksi
blik,balik
kenape,kenapa
jilbabnye,jilbabnya
ledkin,meledeki
digabtikan,digantikan
jng,jangan
ngumung,mengomong
prinadi,pribadi
lahh,lah
luh,lu
helooooo,halo
loe,lo
benar2,benar-benar
bhijab,berhijab
lepasin,melepas
pokonya,pokoknya
waduhhh,waduh
ursan,urusan
sudab,sudah
dwsa,dewasa
agma,agama
rpt2,repot-repot
nmr,nomor
romantiz,romantis
murmer,murah meriah
pensaran,penasaran
baru2,baru-baru
tlp,telepon
lainnyaa,lainnya
perbulannn,perbulan
duetin,duet
mudaa,muda
sebenernya,sebenarnya
mrka,mereka
silsturahmi,silaturahmi
dijkt,dijakarta
may,mau
cums,cuma
undangan2,undangan-undangan
past,pasti
anknya,anaknya
ngucapin,mengucapkan
filmny,filmnya
kemariin,kemarin
knpp,kenapa
lggi,lagi
lma,lama
gaprgi,enggak pergi
nnton,menonton
pa2,apa-apa
dtunggu,ditunggu
bagusss,bagus
emeshh,gemas
pacarn,pacaran
ktg,kita
mbaak,mbak
ngalah,mengalah
de,dek
yaaampunnn,ya ampun
kliatanya,kelihatannya
pcaranya,pacarannya
pankapan,kapan-kapan
semangaatt,semangat
mnutup,menutup
apus,hapus
bngatt,banget
dii,di
ooh,oh
hapusin,hapuskan
ngeuh,engah
sneng,senang
mutusin,memutuskan
ngapus,menghapus
fto2,foto-foto
awl,awal
hrus,harus
bngkit,bangkit
mncoba,mencoba
wahhh,wah
mutuain,memutuskan
smw,semua
foto2,foto-foto
geuliiiiiiis,geulis
euyyyyy,euy
widihh,idih
uuh,uh
ngirim,mengirim
ngidam,mengidam
waah,wah
sampis,sampah habis
mampuussss,mampus
diihhhh,dih
hrusnya,harusnya
sabal,sabar
udahlah,sudahlah
kauuuu,kau
sabaro,sabar
eehhh,eh
nyadar,menyadar
iiii,ih
bhet,banget
inggrisny,inggrisnya
tmn2,teman-teman
dsna,disana
nga,enggak
canyk,cantik
bbrp,beberapa
ciyusss,serius
de,deh
cyin,cinta
bangetttttttt,banget
sexi,seksi
bundaaaa,bunda
bangget,banget
bettt,banget
kyknya,kayaknya
cantiiillx,cantik
brapa,berapa
alaami,alami
sabaarrr,sabar
cantiiiikk,cantik
bangeeeeetttt,banget
cannntikk,cantik
banggett,banget
thnan,tahunan
wouww,wow
cantiiikkk,cantik
pen,pengin
catokin,catok
ikut2an,ikut-ikutan
comment2nya,komentar-komentarnya
teman2,teman-teman
lohhh,loh
besar2an,besar-besaran
hilangin,menghilangkan
kereeeeen,keren
bngeet,banget
gemesinnnnn,menggemaskan
ajaibbbbb,ajaib
saayyyyy,say
lohhhh,loh
ganteung,ganteng
bhgia,bahagia
iiiiiiiiii,ih
lucuukk,lucu
keciil,kecil
yakinn,yakin
pentass,pentas
ngarep,mengharap
kepoin,kepo
lucu2,lucu-lucu
yoo,ya
testinya,testimoninya
betuuuuulllllllllllllllll,betul
bisax,bisanya
seburuk2,seburuk-buruk
psti,pasti
nich,nih
ngebedain,membedakan
urusanny,urusannya
tuhanny,tuhannya
brtngkar,bertengkar
hny,hanya
pndapat,pendapat
nmbah,menambah
looh,loh
nambah,menambah
kata2,kata-kata
sharusnya,seharusnya
mngkannya,mangkanya
ngelakuin,melakukan
brarti,berarti
mndpat,mendapat
kpuasan,kepuasan
sgampang,segampang
mlepaskan,melepaskan
diurusin,diurusi
trll,terlalu
sndr,sendiri
sellow,selow
idup,hidup
sbbrnya,sebenarnya
komen2,komen-komen
kasar2,kasar-kasar
semangattt,semangat
nungguin,menunggu
bujukk,bujuk
d.apa,diapa
apain,apai
dsar,dasar
y,nya
benetaran,benaran
bneran,benaran
si,sih
kraya,karya
brg,bareng
btulan,betulan
kha,kah
s,si
s,sih
tutupin,menutupi
wik,wig
ithu,itu
botakin,botaki
botakkkk,botak
bnrn,benaran
week,wig
bronis,brondong manis
gapunya,enggak punya
bkln,bakalan
zama,zaman
gnti,ganti
nmnya,namanya
tapo,tapi
gkk,enggak
petinggi2,petinggi-petinggi
wota2,wota-wota
indefendet,independen
tempat2,tempat-tempat
taik,tahi
yuuuukkk,yuk
dituutup,ditutup
ngayal,mengkhayal
trlalu,terlalu
smvk,sempak
knyataan,kenyataan
njrittt,anjir
selmt,selamat
taz,atas
klhran,kelahiran
pertma,pertama
kelahuran,kelahiran
pertamany,pertamanya
mamax,mamanya
ankx,anaknya
cantip,cantik
klahiran,kelahiran
slmat,selamat
nyah,nya
prtamax,pertamanya
moqa,moga
yq,yang
brbakti,berbakti
gewlaaaaa,gila
hargs,harga
perhatiin,perhatikan
abal2,abal-abal
bantuim,bantu
adl,adalah
pelwak,pelawak
suces,sukses
sucses,sukses
garemin,garami
ngiringan,mengiringi
karir.a,karirnya
aamin,amin
teruz,terus
promoo,promo
ongkirr,ongkir
nyaranin,menyarani
batesin,batasi
ngeidealin,mengidealkan
bhn,bahan
menghilangkn,menghilangkan
le,boleh
ugha,juga
semuaaa,semua
dijadiin,dijadikan
nobar,menonton bareng
rame2,rame-rame
yam,ya
kartunin,kartun
bacaaaa,baca
kta,kita
kyaknya,kayaknya
abez,habis
baaaaaang,bang
ganteeeeng,ganteng
entahhh,entah
gimanaaaa,bagaimana
duuhh,duh
gantengnyaaaa,gantengnya
kpn2,kapan-kapan
pans,fan
kuliyh,kuliah
kenalin,kenalkan
gantengkuuuuuu,gantengku
atassss,atas
orgny,orangnya
owalaah,walah
nengok,menengok
aslinyo,aslinya
alissnyaa,alisnya
masaaaa,masa
adenya,adeknya
komuk,muka
iyaaaa,iya
fakultass,fakultas
smrg,semarang
koq,kok
yyaaa,ya
insonniaaa,insomnia
adekx,adeknya
azaab,azab
gksi,enggak sih
greged,greget
alamiii,alami
ktemu,ketemu
lngsung,langsung
ditayangin,ditayangkan
emank,memang
bikinin,membikin
ngg,enggak
nanget,banget
ngeditnya,mengeditnya
himana,bagaimana
kekgini,kayak begini
subhanaallahh,subhanallah
sangat2,sangat-sangat
terharuuuu,terharu
subhanallahhh,subhanallah
tlsn,tulisan
nagiss,menangis
aneut,banget
allahh,allah
suamiii,suami
aaahh,ah
dcintai,dicintai
lggeng,langgeng
romantisny,romatisnya
duhhh,duh
pcar,pacar
kakanga,kakaknya
slw,selow
cpa,siapa
akuu,aku
aelah,alah
idupnya,hidupnya
orabg,orang
mukanyaa,mukanya
jwb,jawab
kakakny,kakaknya
woooyy,woy
ngelucu,melucu
bukak,buka
mato,mata
kareno,karena
cino,cina
munafikk,munafik
laen,lain
meker,mikir
indoneaia,indonesia
nyalahin,menyalahkan
benarin,membenarkan
jaadii,jadi
apo,apa
nyo,nya
emangnya,memangnya
rumpiin,rumpi
hotak,botak
ikut2,ikut-ikut
ciptain,menciptakan
ajj,saja
mikir2,memikir-mikir
oooh,oh
hidupx,hidupnya
miara,memiara
pegang2,pegang-pegang
ilmh,ilmu
menasehati,menasihati
suka2,suka-suka
kelus,kali
hubngan,hubungan
koclak,kocak
bju,baju
cinggirnyaaaa,cinggirnya
yahhhh,ya
miripppp,mirip
sedikitlaahh,sedikitlah
miriplahhhhhh,miriplah
wiiiihhhhhhhhh,wih
gantheng,ganteng
synk,sayang
ngfans,fan
wooow,wow
panglingg,pangling
artisnyaa,artisnya
dtggu,ditunggu
trnyata,ternyata
bgtttttttt,banget
rapih,rapi
buuun,bun
iyaappps,iya
nih2,nih-nih
baruu,baru
kecptan,kecepatan
scra,secara
rmbutnya,rambutnya
giti,begitu
wrn,warna
ne,ini
cantikkkkk,cantik
fans,fan
loksyut,lokasi syuting
amfun,ampun
k',kak
asuuu,asu
dibls,dibalas
ceklist,ceklis
terusss,terus
tlvn,telepon
trkrim,terkirim
kelaluan,kelakuan
c,sih
gueee,gue
semangatt,semangat
haduh,aduh
mlz,malas
emak2,emak-emak
tante2,tante-tante
dua2nya,dua-duanya
iy,iya
dnk,dong
senyumna,senyumnya
ngejelek2in,menjelek-jelekkan
hotx,hotnya
cwnya,ceweknya
mbaaahhh,mbah
pasangn,pasangan
sttus,status
aama,sama
hadeuuhhhh,aduh
lebar2,lebar-lebar
serasiii,serasi
cocokx,cocoknya
emakx,emaknya
iniiiiiiiiiiiiiii,ini
cocookk,cocok
kll,kalau
cucok,cocok
arghhh,ah
ungkapin,ungkapkan
merrid,merit
neh,nih
cocokkkkk,cocok
yaolohh,ya allah
aee,saja
naggung,menanggung
battt,banget
am,sama
tah,teh
luthuna,lucunya
sie,sih
astagaaa,astaga
suaraynyaa,suaranya
duanyaa,duanya
anjayyyy,anjay
coeggg,coeg
ancur,hancur
koplak,kocak
uaaasssiiiik,asik
boss,bos
gemez,gemas
dede,adek
tium,cium
gemeeezzzz,gemas
ppa,papa
papahhhnya,papahnya
duuuhh,duh
ginting,ganteng
bingiiittzz,banget
iiihh,ih
dedeknya,adeknya
hadeeuh,aduh
geneeee,begini
yooow,ya
gemezz,gemas
gayax,gayanya
infpyunnnn,ampun
paraaah,parah
papiii,papi
kamunyaa,kamunya
ngambek,mengambek
haduuuh,aduh
kapaan,kapan
nginjek,menginjak
putihnyaa,putihnya
rasain,merasai
ituuuu,itu
omaaaaaaakk,oma
loncattt,loncat
didatengin,didatangi
abg,abang
kmariiin,kemarin
kaan,kan
ayoklaa,ayolah
kaliiin,kalian
ujunggg,ujung
laaaah,lah
kaakaaaa,kakak
srruu,seru
kannn,kan
jmpaaaa,jumpa
yukkk,yuk
haii,hai
syukaaakkk,suka
dengeeriin,dengarkan
yakaliiiii,yakali
ngertii,mengerti
nyanyiin,nyanyikan
nyanyiin,menyanyi
apalgi,apalagi
akuh,aku
mesrany,mesranya
ngggk,enggak
coccokk,cocok
mantapp,mantap
klepek2,klepek-klepek
bngtttt,banget
ponakn,ponakan
tantee,tante
gadiss,gadis
tpy,tapi
jnda,janda
bngy,banget
bujngn,bujangan
ngp,mengapa
bawa2,bawa-bawa
dapetin,mendapatkan
nyobain,mencoba
pcaran,pacaran
langgengggg,langgeng
merekak,mereka
kreeenn,keren
abisss,habis
kocaaaakkk,kocak
abiiiss,habis
ampuuun,ampun
iiihhhh,ih
flim.a,filmnya
trusan.a,terusannya
dh,dah
tdung,tudung
gangguin,mengganggu
cntiiikkk,cantik
tegaar,tegar
sktlrang,sekarang
kangeeeennnnn,kangen
nangiis,menangis
nyaaaaaaaaa,nya
sbgai,sebagai
bundaa,bunda
duuhhhhh,duh
gaada,enggak ada
malsudnya,maksudnya
lluuccuu,lucu
siappa,siapa
martabakk,martabak
skali2,sekali-kali
kueren2,keren-keren
abgnya,abangnya
nii,ini
gile,gila
warkop,warung kopi
hayuu,hayo
kenapaa,kenapa
ilang2an,hilang-hilangan
ayooook,ayo
astagaaaaaaaa,astaga
inihhh,ini
oom,om
mansetan,bermanset
meranin,memerankan
cadasss,cadas
kereeeeennn,keren
kgak,kagak
nikmatin,menikmati
mantappp,mantap
mbahh,mbah
giitu,begitu
mtanya,matanya
cpit,sipit
dee,dek
sumvahh,sumpah
tamvann,tampan
yap,ya
guaaaaaaa,gua
capa,sapa
ngakakkk,mengakak
liaat,lihat
gantweng,ganteng
anjjjjjjjj,anjing
gakwad,enggak kuat
seru2,seru-seru
iniii,ini
favoriteeee,favorit
adaa,ada
dinyanyiin,dinyanyikan
seruu,seru
nyengir,menyengir
temennya,temannya
klk,kelak
brjdh,berjodoh
akhrt,akhirat
kangennnnn,kangen
kanggen,kangen
kangennnnnnn,kangen
brjodoh,berjodoh
kaliann,kalian
barengg,bareng
kpnpun,kapanpun
mendj,menjadi
allahhhh,allah
merindinggg,merinding
amiennnn,amien
lhir,lahir
udeh,sudah
menjdi,menjadi
debay,adek bayi
bangeer,banget
lafazd,lafaz
sokk,sok
hub,hubungan
sma2,sama-sama
ngom,mengomong
toloollll,tolol
bodhooo,bodoh
peliharaaaa,pelihara
andaaa,anda
buktinyaaa,buktinya
smuaaa,semua
ngambeknya,mengambeknya
kebongkar,terbongkar
diladenin,diladeni
comen,komen
ngtif,negatif
comntr,komentar
mulutny,mulutnya
msalah,masalah
trserh,terserah
waduuuuh,waduh
ngedukung,mendukung
dihpus,dihapus
mrekaa,mereka
cakeeeeppp,cakep
benerr,benar
baanget,banget
anjaaaayyyyyy,anjay
ngetsz,banget
utkmu,untukmu
anj,anjing
hijap,hijab
ternodain,ternodai
ngeri2,ngeri-ngeri
bljr,belajar
stuju,setuju
sbb,sebab
igtlah,ingatlah
dtgkan,datangkan
benahin,membenahi
ohhhh,oh
jauhh,jauh
bingitt,banget
buka2an,buka-bukaan
ngembali,kembali
sp,sapa
bilng,bilang
kacauuuu,kacau
ngimpi,mimpi
owh,oh
slah,salah
usa,usah
dipikirin,dipikirkan
nunduk,menunduk
tembemmm,tembem
lucuuuuuuuuuu,lucu
bundaaa,bunda
nyubitt,mencubit
hay,hai
supeer,super
brsma,bersama
cantiknyaaaaa,cantiknya
nie,nih
tmbm,tembam
mikirinnn,memikirkan
nyindirin,menyindir
nee,ini
mksdx,maksudnya
melakukn,melakukan
percya,percaya
seorg,seorang
berkluarga,berkeluarga
sendri,sendiri
bntar,bentar
duuuhhh,duh
nmbk,menembak
gakkk,enggak
abiiiiisssss,habis
tikung2,tikung-tikung
cwok,cowok
bangedd,banget
wuastagah,astaga
bedaaa,beda
jaoooh,jauh
mateeeeeeeeeeee,mati
parsis,persis
sumpeh,sumpah
iyh,iya
kmana,kemana
cantiqs,cantik
kecik,kecil
brasa,berasa
trlihat,terlihat
bhw,bahwa
mmberikan,memberikan
khidupan,kehidupan
srpti,seperti
mlu,melulu
sgtu,sebegitu
paati,pasti
th,tahu
khadiran,kehadiran
kel,keluarga
srta,serta
kcil,kecil
mmberi,memberi
kberkahn,keberkahan
kbahagiaan,kebahagiaan
tntram,tentram
brsama,bersama
hngga,hingga
brpndapat,berpendapat
mnilai,menilai
trutama,terutama
hiraukn,hiraukan
diamkn,diamkan
hrsny,harusny
brsyukur,bersyukur
mmberikn,memberikan
rasakn,rasakan
cari2,cari-cari
kesalahanny,kesalahannya
kekuranganny,kekurangannya
seandainy,seandainya
matany,matanya
perasaanny,perasaannya
diindonesis,diindonesia
liyatnya,lihatnya
kayahhh,kaya
ala2,ala-ala
yook,yuk
yoookkkk,yuk
siihh,sih
elus2,elus-elus
asliiiii,asli
aduuhhhh,aduh
belom,belum
dengerin,mendengarkan
jelekin,menjelekkan
btul,betul
kejahatn,kejahatan
bhwa,bahwa
slam,salam
ngelewati,melewati
kalu,kalau
ngerendahin,merendahkan
apaalahh,apalah
tnp,tanpa
menyebut2,menyebut-nyebut
mnt,minta
miriiiiip,mirip
dirimuuu,dirimu
amiiiiinnn,amin
yoiiu,yoi
suka.a,sukanya
jdii,jadi
jnagn,jangan
kcwa,kecewa
siapa2,siapa-siapa
mulutnyaaa,mulutnya
blkng,belakang
kcewa,kecewa
mnusuk,menusuk
blkang,belakang
nembak,menembak
trmanis,termanis
krng,kurang
kaciiaann,kasihan
sok2an,sok-sokan
nyela,mencela
hallooo,halo
halooo,halo
ustzah,ustazah
mn,mana
poooolllll,pol
tahannn,tahan
cuantik,cantik
aduhh,aduh
prlu,perlu
gituuuuu,begitu
kyy,kaya
kngn,kangen
kq,kok
nyesek,menyesak
rinduuuuuuu,rindu
b2,berdua
kangeeeennn,kangen
mg,moga
aamiiiiinnn,amin
gemezzzz,gemas
kangennnnnn,kangen
prh,parah
bakattt,bakat
napsuu,napsu
gemesin,menggemaskan
gmau,enggak mau
luccu,lucu
prasaan,perasaan
gmna,bagaimana
lahirr,lahir
